id,fuente,indice,imagen_finita,minimo,maximo,media,desviacion,huella_imagen,huella_mascara,mascara_valida,pixeles_fondo_inconsistente,proporcion_0,proporcion_1,proporcion_2,proporcion_3,proporcion_lesion,imagen_constante,motivo,estado,archivo,particion,proporcion_final_0,proporcion_final_1,proporcion_final_2,proporcion_final_3,pierde_clase_lesion
medseg_0000,medseg,0,True,-1414.8936170212767,212.76595744680844,-627.1349074992728,575.8760124092433,c617bfb0f85dc5f4b22023aab18fa54d90b323ada259f563ff5f99bce71fbe96,ad5987b6a0018de8f227b3ec43e3b9553b1f174c95c72642e39050d366d97478,True,0,0.031036376953125,0.10545730590820312,0.02068328857421875,0.8428230285644531,0.13649368286132812,False,,conservar,medseg_0000.npz,pendiente de identificar pacientes,0.0311431884765625,0.105499267578125,0.0204315185546875,0.842926025390625,False
medseg_0001,medseg,1,True,-1477.6923076923076,278.5918324601348,-528.5523954004572,461.92492191333486,2e4d85e6b55306685e2c3f84ad3a114fade1da1e46f69688cd10f5ccd4a1d393,737bac85304236487300760b15e1e55dd404c522ffe2e32389f3f06010f5bbe0,True,0,0.0762939453125,0.14304733276367188,0.14648056030273438,0.6341781616210938,0.21934127807617188,False,,conservar,medseg_0001.npz,pendiente de identificar pacientes,0.07635498046875,0.142852783203125,0.14703369140625,0.633758544921875,False
medseg_0002,medseg,2,True,-1070.7745643898754,272.24904466640396,-550.2367294988184,462.7274646789271,af14838d15a6f416c599ece845bf5f64d7e84ada5a19a502e2a9002beec445f8,57ee6a53d42b56c889e27018aee571b04f74c8e3052bd4ae39d03be5b8a391c0,True,0,0.00312042236328125,0.0,0.2120513916015625,0.7848281860351562,0.00312042236328125,False,,conservar,medseg_0002.npz,pendiente de identificar pacientes,0.00311279296875,0.0,0.2120361328125,0.78485107421875,False
medseg_0003,medseg,3,True,-1146.938775510204,267.3469387755101,-576.8325649962134,474.6490640373472,6e450f532a9d18c35291240332d6aef10722df733500986ead7d2aa010c1780d,aa964e1cbb83232a4a3068f2dbc3427a08dbb2696b3fc28da29b729c437a1ba0,True,0,0.038677215576171875,0.02303314208984375,0.0846099853515625,0.8536796569824219,0.061710357666015625,False,,conservar,medseg_0003.npz,pendiente de identificar pacientes,0.0387725830078125,0.023193359375,0.0850677490234375,0.85296630859375,False
medseg_0004,medseg,4,True,-1061.5378824813831,262.0646220736662,-348.66321102893187,402.1301295456607,f69f1e777ca706b8cf89774315eeda3b6f7cb838074a46e7e8368029159e53fc,e286ce61788bb027b5c6eb7b8656e3b0c857a921f2b59f55d5e9b898862f186c,True,0,0.0248260498046875,0.0,0.4337120056152344,0.5414619445800781,0.0248260498046875,False,,conservar,medseg_0004.npz,pendiente de identificar pacientes,0.0249786376953125,0.0,0.433868408203125,0.5411529541015625,False
medseg_0005,medseg,5,True,-1085.8614185323559,269.2274338484715,-321.3656196392382,405.11991489892426,02479e03dc9c5a222e43fab04f92274caa1e73f48b5dbaa138e8e30e7b6a4f37,e97fc49efd64c3a849acd18119729137fd2c901de267fc2041726204a0f8780c,True,0,0.017749786376953125,0.0,0.3854866027832031,0.5967636108398438,0.017749786376953125,False,,conservar,medseg_0005.npz,pendiente de identificar pacientes,0.0177459716796875,0.0,0.386199951171875,0.5960540771484375,False
medseg_0006,medseg,6,True,-1297.887323943662,318.30985915492965,-649.597495710346,439.9338189796321,65363fcd71d60b2718d745804b4bedead47350651be760550ff8719b9dc7ff2c,6d4db4817c4a5683130bea70e253d4ab08e1f5d6598e9cff42b574800cb5fb2f,True,0,0.011981964111328125,0.011493682861328125,0.1384124755859375,0.8381118774414062,0.02347564697265625,False,,conservar,medseg_0006.npz,pendiente de identificar pacientes,0.0121002197265625,0.0115509033203125,0.1386260986328125,0.8377227783203125,False
medseg_0007,medseg,7,True,-1206.9701180569532,160.22064141634064,-123.84652053114189,230.7811309026026,0e77744c269c227d1df5b141ae727ddd3dffe3f1a6b6ab109418a928b8c34301,1f4f6181298a7f95f29d4693f6694e1b6002927db66b68f70a97a4683f921d09,True,0,0.10808944702148438,0.1509552001953125,0.034488677978515625,0.7064666748046875,0.2590446472167969,False,,conservar,medseg_0007.npz,pendiente de identificar pacientes,0.1083221435546875,0.1510162353515625,0.034454345703125,0.706207275390625,False
medseg_0008,medseg,8,True,-1387.5,203.18639891859016,-409.4215412317574,498.7002051909981,568eb77cb9320b72b057d77250d55c5329bbabe11677ca77f2c2d106f899f508,e46f611888850724057a7ffc49db8a2af2c33f01cb31d79a08ee175569a7ccd2,True,0,0.18467330932617188,0.00644683837890625,0.142486572265625,0.6663932800292969,0.19112014770507812,False,,conservar,medseg_0008.npz,pendiente de identificar pacientes,0.1848907470703125,0.00634765625,0.14166259765625,0.6670989990234375,False
medseg_0009,medseg,9,True,-1117.8571428571306,92.85714285714289,-545.1420647757394,446.449630499428,0fcbeb64f214a8335ab37d5a4a560491dae8ec469dcf639564bde96601954167,2de082b39603593e93da3327e85a0d8bbbe3c85d3b1cfe434255a9db52ddfa7a,True,0,0.07939529418945312,0.02574920654296875,0.031604766845703125,0.863250732421875,0.10514450073242188,False,,conservar,medseg_0009.npz,pendiente de identificar pacientes,0.0793609619140625,0.025848388671875,0.0321502685546875,0.862640380859375,False
medseg_0010,medseg,10,True,-1089.4561431438913,223.36451565972948,-455.4439259579592,457.67657272892126,004b71ca0e788b6fdcbbc85adb55dd104aa83a0fc187b71d9de9d1a27ea92da5,c06031e8aa4da43b74eb2b00ad4ae6663d4e869ee1d23708878b03fa112a8ab7,True,0,0.0211181640625,0.03314208984375,0.5182342529296875,0.4275054931640625,0.05426025390625,False,,conservar,medseg_0010.npz,pendiente de identificar pacientes,0.0211029052734375,0.0331573486328125,0.51800537109375,0.427734375,False
medseg_0011,medseg,11,True,-1458.9403973509934,57.73085122862062,-648.9025643846744,570.7050994823653,57bd118833f30bc9a3ca201bcc6711e80a3fd1b7e3f605ff7c5e36b02769af2e,d387b06d6110ed768034fac66497ab6ceca29a9172f1e6043664ddc168b221bb,True,0,0.07879257202148438,0.001399993896484375,0.069091796875,0.8507156372070312,0.08019256591796875,False,,conservar,medseg_0011.npz,pendiente de identificar pacientes,0.0788116455078125,0.001373291015625,0.069427490234375,0.8503875732421875,False
medseg_0012,medseg,12,True,-1081.8181818181818,290.20979020979007,-591.9515916517564,490.5470118911224,b1cb211acfca660fd2270678de71f1716f8c8862f612b73974e22663a5df80e3,7f670c410ef1b841af177d006e43e29dec87ae531b917076fa930577a77f61ec,True,0,0.03900146484375,0.0073394775390625,0.06975555419921875,0.8839035034179688,0.0463409423828125,False,,conservar,medseg_0012.npz,pendiente de identificar pacientes,0.039031982421875,0.00738525390625,0.069976806640625,0.88360595703125,False
medseg_0013,medseg,13,True,-1160.6500009484187,394.700999033847,-291.86709114220605,433.2719684333335,cbb8f49cf099a4a662e8cf83a50dbd839eb5b1bf07596edf415b2fb72e838761,20e3b36219ee330120900ad63b2eee659cb9edd039081dd7e76434e3e5d33d79,True,0,0.05442047119140625,0.0,0.3458671569824219,0.5997123718261719,0.05442047119140625,False,,conservar,medseg_0013.npz,pendiente de identificar pacientes,0.054351806640625,0.0,0.345672607421875,0.5999755859375,False
medseg_0014,medseg,14,True,-1078.760408115061,253.18769628843688,-337.07209649746176,444.756493241817,ceb9893a34447e5ee82f92c06eb2b30727e91415b2cbcfb9237c91215c89f852,fdd5acc90c795e2e39bb4a97535c69e35026d4a64fb06730000246754db6bb9c,True,8,0.014865875244140625,0.0178985595703125,0.2123260498046875,0.7549400329589844,0.032764434814453125,False,,conservar,medseg_0014.npz,pendiente de identificar pacientes,0.01495361328125,0.0181121826171875,0.2130584716796875,0.753875732421875,False
medseg_0015,medseg,15,True,-1295.5063909934722,200.34457221229331,-510.1762589733049,492.0904597844126,a68940f6f187ebfb6cb0c7c0d76a3687c413c29dafec1d29ec420ff3315fe870,197f7ca9f4bf1a92308dd5ffb4e136d7c69ba213c35d38f7a672cbc0beca7ebf,True,0,0.0,0.10205078125,0.16623687744140625,0.7317123413085938,0.10205078125,False,,conservar,medseg_0015.npz,pendiente de identificar pacientes,0.0,0.1018829345703125,0.166351318359375,0.7317657470703125,False
medseg_0016,medseg,16,True,-1066.641514195038,245.50063436770597,-327.24021220524287,392.3645872568616,8560649b88559e85e1d15f78ece6aed07dbd1303d82f689471925d0321ab00c1,04d156afa550cb1730ceea699392165977bcade16104a00f024aff9e35376a4a,True,0,0.0091094970703125,0.006595611572265625,0.38251495361328125,0.6017799377441406,0.015705108642578125,False,,conservar,medseg_0016.npz,pendiente de identificar pacientes,0.0092010498046875,0.0065460205078125,0.3829803466796875,0.6012725830078125,False
medseg_0017,medseg,17,True,-1070.997175016377,264.2075837796642,-350.0055404153476,410.43983615100086,5d5347c9555974456336d6376f0475fc16d1382fdcbd77f4452c1cca71091243,7c410f9f05eaa6dabb33a33bfd8f987a14859d9355591bfb7339b978fad09e71,True,0,0.024059295654296875,0.0,0.4405975341796875,0.5353431701660156,0.024059295654296875,False,,conservar,medseg_0017.npz,pendiente de identificar pacientes,0.024169921875,0.0,0.4402618408203125,0.5355682373046875,False
medseg_0018,medseg,18,True,-1118.93566953306,364.0244548376695,-356.6280264251857,444.6998932050198,3d420fa194d18b355686f36d8a1194234188471a89c61fb732dc3a1c0a2d3261,f49bce37f0c58830a1181b75d2bca8baa46b4c923df9461a1d73abb18b500075,True,0,0.012569427490234375,0.01496124267578125,0.21837997436523438,0.75408935546875,0.027530670166015625,False,,conservar,medseg_0018.npz,pendiente de identificar pacientes,0.0126495361328125,0.0148773193359375,0.2189483642578125,0.7535247802734375,False
medseg_0019,medseg,19,True,-1096.2994066379588,395.6521739130435,-151.84230679357876,407.11781826339256,e3630d83a29400e21c1fd6909d370a6e9f9daec2452492bb7a2bd761027453d0,36e3dcfa06124771f9e4bbc12ad82afe32fa2d99cc910baf35e7b4bb6db056e5,True,0,0.0913238525390625,0.05402374267578125,0.16066741943359375,0.6939849853515625,0.14534759521484375,False,,conservar,medseg_0019.npz,pendiente de identificar pacientes,0.091217041015625,0.054046630859375,0.1607666015625,0.6939697265625,False
medseg_0020,medseg,20,True,-1031.1890394063055,380.4697650876542,-403.0525215740109,468.4382519221903,5b212768461c5ba757a9942f397ee11c630e2cb5f7ebfb2418247ff651830376,bea3d7b14f9254b786a789d9d49faa9b98be1724571113f21ad2de971ad2fb9d,True,0,0.029041290283203125,0.001140594482421875,0.19884109497070312,0.7709770202636719,0.030181884765625,False,,conservar,medseg_0020.npz,pendiente de identificar pacientes,0.0290985107421875,0.0011444091796875,0.1995086669921875,0.7702484130859375,False
medseg_0021,medseg,21,True,-1376.595744680851,246.555160777717,-366.8892110669389,444.0829258606091,e575694a484c308cf1c98c3a67722330f8f2f74eeb0bdfcb73817cfa24d8d4a1,cef323f258e8cebd244f66099baed145a4d5bf6411c7dd326709c7a452c44adc,True,0,0.05754852294921875,0.001129150390625,0.3706855773925781,0.5706367492675781,0.05867767333984375,False,,conservar,medseg_0021.npz,pendiente de identificar pacientes,0.0574798583984375,0.001129150390625,0.3712921142578125,0.570098876953125,False
medseg_0022,medseg,22,True,-1404.3478260869565,257.6822972838363,-321.7354281921548,468.99225530226073,2cb106080a46cbac702ea80db381d8a3ea4a8dfd4af390e45a236275bfb69d1e,f1dcc54b52458dbfccc4297c70d57270b0e415914d6d8809f337c62b596066b6,True,0,0.0,0.000774383544921875,0.032100677490234375,0.9671249389648438,0.000774383544921875,False,,conservar,medseg_0022.npz,pendiente de identificar pacientes,0.0,0.0007781982421875,0.0321044921875,0.9671173095703125,False
medseg_0023,medseg,23,True,-1362.4161073825503,177.85234899328862,-576.1990719970624,604.8112970929326,c1e8f6e40cab08d2f5f1f77dbca2af54f64b2a757ca233edc8f9bf273b8e9782,864e9f0d52b796841c9fc8b1379dd0e4e45c322a635efae706a7d8c8c8966653,True,0,0.01499176025390625,0.10368728637695312,0.053272247314453125,0.8280487060546875,0.11867904663085938,False,,conservar,medseg_0023.npz,pendiente de identificar pacientes,0.014801025390625,0.1038970947265625,0.0538177490234375,0.827484130859375,False
medseg_0024,medseg,24,True,-1097.5187922963312,240.09611874348275,-426.35392788668264,470.6297953531918,0e99d2c4f5bd29cf35265c3ef0e6b25e02ff0f7a3c873ff7886d480e793334d0,2f3cc02520b70a69c4f82857b7d5b2d0a745a40eac22f98c8722fdb6f97c6dea,True,0,0.002780914306640625,0.004398345947265625,0.2691917419433594,0.7236289978027344,0.00717926025390625,False,,conservar,medseg_0024.npz,pendiente de identificar pacientes,0.002716064453125,0.00433349609375,0.2697601318359375,0.7231903076171875,False
medseg_0025,medseg,25,True,-1380.8581402427294,107.23684210526335,-476.9507432614534,409.9714367570934,161c837a3c8e0f479825b89041415f2e71876de7efd24f42e9fbc6dff6a13d97,73a5c8fddf746d00642a8e137dcc6ac759da045b4d6944525cfdb6334d129bfd,True,0,0.09749603271484375,0.0,0.2689781188964844,0.6335258483886719,0.09749603271484375,False,,conservar,medseg_0025.npz,pendiente de identificar pacientes,0.09747314453125,0.0,0.26776123046875,0.634765625,False
medseg_0026,medseg,26,True,-1295.8041958041958,309.090909090909,-641.3539352950517,440.0287725366241,446f43615b8770f9fe8bf50b054479865f20c19302b5a1489ceae01e38cdd4dc,a15c291b4f12e53a292c24bcc8d6b89d8644f73d8cb6d3be2d6380b5c1782129,True,0,0.01061248779296875,0.008571624755859375,0.150054931640625,0.8307609558105469,0.019184112548828125,False,,conservar,medseg_0026.npz,pendiente de identificar pacientes,0.010650634765625,0.0085601806640625,0.15008544921875,0.8307037353515625,False
medseg_0027,medseg,27,True,-1295.8041958041958,309.090909090909,-638.1753427999002,442.4138719361186,3378ec63ea9225d274017ee65dacdbee22ad1e811aaa08aeb706ce564fe083c2,b8670fee65fd0059327cef095a192617fef463ae9c54a9af7818a4456f84205b,True,0,0.00890350341796875,0.00408172607421875,0.14442062377929688,0.8425941467285156,0.0129852294921875,False,,conservar,medseg_0027.npz,pendiente de identificar pacientes,0.0089874267578125,0.0040740966796875,0.144073486328125,0.842864990234375,False
medseg_0028,medseg,28,True,-1075.5244755244755,296.50349650349654,-581.5546262514341,497.7024345062876,19e617052ab0df51d0b9d05b1525e157b2b281016953344a88d1f994053325f7,448e2ec59736402a9acdee0aefb05f8c39f9aba4afcd5e4a81a7c0f68cd68eb4,True,0,0.032623291015625,0.008518218994140625,0.0563507080078125,0.9025077819824219,0.041141510009765625,False,,conservar,medseg_0028.npz,pendiente de identificar pacientes,0.0327301025390625,0.00848388671875,0.05657958984375,0.9022064208984375,False
medseg_0029,medseg,29,True,-1440.14598540146,231.38949355543946,-455.9012878576531,544.4382892982536,4d59210832e6320c581ad0f4cca4b30ca5def89ac69391081823c03521079063,1e7507b015e0175486745a4e7ff40120ef3653c36d4dfb46f79e63723b1c34c1,True,0,0.18273162841796875,0.0,0.09178924560546875,0.7254791259765625,0.18273162841796875,False,,conservar,medseg_0029.npz,pendiente de identificar pacientes,0.182830810546875,0.0,0.0905914306640625,0.7265777587890625,False
